gene,pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,log2 fold change
Necap1,0.000911028667944,0.999999997723,0.999998388463,1.0,0.5,0.5,0.00275665923766,0.0291336490387,0.00121849035004,0.0012942624963,0.0127081076666
Necap2,0.0672832513715,1.0,1.0,1.0,0.5,0.5,0.104122058887,1.0,0.0460237240231,0.0488857215335,-0.00520990627735
Nedd1,0.296647320932,1.0,1.0,1.0,0.5,0.5,0.340649826549,1.0,0.150573027206,0.159936450922,0.00550307745101
Nedd4,0.129087076282,1.0,1.0,1.0,0.5,0.5,0.17667328591,1.0,0.0780926024695,0.0829488117091,-0.00301801125493
Nedd4l,5.69818961784e-05,0.711822355929,0.619261589005,0.965615212639,0.5,0.449359233263,0.000254127882873,0.00268574093215,0.000112328853971,0.00011931405361,0.0219854310179
Nedd8,0.318632010975,1.0,1.0,1.0,0.5,0.5,0.360102672479,1.0,0.159171516538,0.169069639598,0.0017208750298
Nedd9,0.0259582399054,1.0,1.0,1.0,0.5,0.5,0.0470307996694,0.497043230029,0.0207884147481,0.0220811478442,-0.00690939199425
Nefh,0.0751298162001,1.0,1.0,1.0,0.5,0.5,0.114029398998,1.0,0.0504029371498,0.0535372571924,0.0106239981843
Nefl,0.0379130185235,1.0,1.0,1.0,0.5,0.5,0.0644650037356,0.681295957242,0.0284946299832,0.0302665761218,0.0189230499602
Nefm,0.388246509929,1.0,1.0,1.0,0.5,0.5,0.41784359904,1.0,0.184693989848,0.196179234693,-0.00489666499977
Negr1,9.42516102021e-14,2.05802774822e-09,2.05020433963e-09,2.05006677351e-09,2.05006677351e-09,2.03140495469e-09,2.42417510264e-11,2.56198030151e-10,1.07152669761e-11,1.13815987009e-11,-0.0780971537959
Neil1,0.00240485552049,1.0,1.0,1.0,0.5,0.5,0.00633362640732,0.066936691475,0.00279957078213,0.00297366283528,-0.0149074874212
Neil2,0.0936915191536,1.0,1.0,1.0,0.5,0.5,0.136592764071,1.0,0.0603763289386,0.0641308470002,0.00893565817231
Neil3,0.0250990831316,1.0,1.0,1.0,0.5,0.5,0.0457487892635,0.483494351474,0.0202217443062,0.0214792388504,0.0159373875939
Nek1,0.0905162053832,1.0,1.0,1.0,0.5,0.5,0.132864903597,1.0,0.0587285510951,0.0623806016536,0.0131798930097
Nek10,0.366321105194,1.0,1.0,1.0,0.5,0.5,0.400178624145,1.0,0.176885769974,0.187885458592,0.00448545862635
Nek11,1.22385916654e-05,0.234494627499,0.196549795966,0.218838730544,0.218812819205,0.145480139127,6.74939477928e-05,0.000713307238112,2.98334748625e-05,3.16886774259e-05,-0.0291383740124
Nek2,0.124103767431,1.0,1.0,1.0,0.5,0.5,0.171132494686,1.0,0.0756434783465,0.0803473881517,0.0106283752662
Nek3,0.0348411980829,1.0,1.0,1.0,0.5,0.5,0.060115118158,0.635324355803,0.026571906446,0.0282242875105,-0.0109210187565
Nek4,0.000101844981056,0.891802450376,0.814011689021,1.0,0.5,0.5,0.000417501695445,0.00441235089996,0.000184542862634,0.000196018709594,0.018654976655
Nek5,0.106345127759,1.0,1.0,1.0,0.5,0.5,0.150886278059,1.0,0.0666943056492,0.0708417087717,-0.00718127387577
Nek6,6.1793290035e-07,0.0134013426961,0.0118363454919,0.0119069490568,0.0119050952581,0.00988321880819,5.25182831694e-06,5.55037492146e-05,2.32139759489e-06,2.4657543213e-06,-0.0240915709691
Nek7,0.00138242950974,1.0,0.999999997,1.0,0.5,0.5,0.0039384517401,0.0416233784663,0.00174086277108,0.00184911878518,0.0124937322715
Nek8,0.115434922774,1.0,1.0,1.0,0.5,0.5,0.16139010166,1.0,0.0713371746416,0.0757732958064,-0.00658272190268
Nek9,0.476976611585,1.0,1.0,1.0,0.5,0.5,0.48447967174,1.0,0.214148269303,0.227465136345,0.000758100021178
Nelf,0.000265902391405,0.996992014903,0.984853933415,1.0,0.5,0.5,0.00095407685169,0.0100831251732,0.000421718223672,0.000447942883494,0.0200428035571
Nell1,0.0148239599025,1.0,1.0,1.0,0.5,0.5,0.029370214496,0.310398002636,0.0129821352066,0.0137894327347,0.0162271445188
Nell2,0.0173345795509,1.0,1.0,1.0,0.5,0.5,0.0334952265977,0.353993037238,0.0148054608361,0.0157261423531,0.0169465800515
Nenf,0.118286552473,1.0,1.0,1.0,0.5,0.5,0.164506914471,1.0,0.072714859007,0.0772366518402,-0.00832662231086
Neo1,0.000301097446653,0.998605405491,0.991053548519,1.0,0.5,0.5,0.00106284899618,0.0112326794741,0.00046979736476,0.000499011838748,0.0130899610098
Nepn,1.1618309535e-08,0.000253641999325,0.000237252588198,0.000237280735634,0.000237280735634,0.00021814537983,1.79469428766e-07,1.89671587965e-06,7.93285452515e-08,8.42616119216e-08,0.0633401771743
Nes,0.0606585800896,1.0,1.0,1.0,0.5,0.5,0.095532824156,1.0,0.0422271359316,0.0448530416024,-0.0179709937839
Net1,0.00046614708562,0.999962087451,0.9991954579,1.0,0.5,0.5,0.00155231979876,0.0164056331646,0.000686151798929,0.000728820330908,0.0164749732985
Neto1,0.0494390024671,1.0,1.0,1.0,0.5,0.5,0.0805340622031,0.851121194753,0.0355974276048,0.0378110631013,-0.0266927631286
Neto2,0.047503873499,1.0,1.0,1.0,0.5,0.5,0.0779167222718,0.823459936542,0.0344405187618,0.0365822115744,0.0237087378066
Neu1,0.0994442315407,1.0,1.0,1.0,0.5,0.5,0.143140332327,1.0,0.0632704656629,0.0672049563859,0.00648653432216
Neu2,0.0352173417114,1.0,1.0,1.0,0.5,0.5,0.0606357576561,0.640826714675,0.0268020379747,0.0284687298295,0.0106186209394
Neu3,0.00337555909399,1.0,1.0,1.0,0.5,0.5,0.00844794925366,0.0892818326221,0.0037341375033,0.00396634583639,0.0262649310382
